student_id,gender,age,year_of_study,attendance_rate,num_absences,assignments_avg,midterm_score,final_score,project_participation,lab_hours_per_week,infra_usage_hours_month,supervisor_assigned,scholarship,socioeconomic_status,extracurricular_count,lab_access,classroom_allocated,promotion_size,overall_grade,ratio_presence_note,participation_projets_ponderee,moyenne_filiere,gender_encoded,scholarship_encoded,lab_access_encoded,supervisor_assigned_encoded,filiere_Electrique,filiere_Energetique,filiere_GenieCivil,filiere_Informatique,filiere_Mecanique,filiere_Telecom
ENSPD004372,Male,20.0,5,0.6858475894245722,20.0,0.45657015590200445,0.595,0.635,0.0,0.2,8.8,Yes,No,Middle,1.0,Yes,Salle 7,109.0,0.44027777777777777,0.32668335445478947,0.0,0.5818364233587374,1,0,1,1,False,False,False,True,False,False
ENSPD002854,Female,25.0,2,0.7853810264385693,14.0,0.5089086859688196,0.585,0.8029999999999999,5.0,0.3,2.1,Yes,No,High,2.0,Yes,Salle 30,161.0,0.5986111111111111,0.27673774110792226,0.862,0.7508690441401171,0,0,1,1,False,False,False,False,False,True
ENSPD001804,Male,23.0,1,0.8087091757387247,12.0,0.7951002227171492,0.47200000000000003,0.988,2.0,0.6,9.4,Yes,No,Low,0.0,Yes,Salle 23,248.0,0.7625,0.21903321310605664,0.3508,0.5818364233587374,1,0,1,1,False,False,False,True,False,False
ENSPD002407,Male,20.0,1,0.8880248833592533,7.0,0.6347438752783965,0.645,0.45799999999999996,2.0,0.5,11.5,No,No,Middle,0.0,Yes,Salle 18,248.0,0.4902777777777778,0.3699126793987878,0.3712,0.5818364233587374,1,0,1,0,False,False,False,True,False,False
ENSPD001534,Male,25.0,5,0.5241057542768274,31.0,0.7706013363028954,0.634,0.775,0.0,0.4,2.2,No,Yes,Low,0.0,Yes,Salle 20,109.0,0.7069444444444444,0.1583607260476734,0.0,0.5818364233587374,1,1,1,0,False,False,False,True,False,False
ENSPD003477,Female,22.0,4,0.38724727838258166,39.0,0.5556792873051225,0.536,0.631,1.0,6.1,11.5,Yes,No,Low,0.0,Yes,Salle 30,173.0,0.4902777777777778,0.190699868855946,0.1212,0.6476742668343078,0,0,1,1,False,False,True,False,False,False
ENSPD002052,Male,23.0,5,0.6998444790046657,19.0,0.7516703786191538,0.578,0.635,1.0,2.1,12.6,Yes,No,Middle,1.0,No,Salle 4,80.0,0.6027777777777776,0.2479429818524365,0.16140000000000002,0.900740336465212,1,0,0,1,True,False,False,False,False,False
ENSPD003891,Female,23.0,2,0.625194401244168,24.0,0.7060133630289532,0.438,0.6070000000000001,0.0,1.8,12.4,Yes,No,Middle,0.0,Yes,Salle 28,161.0,0.5416666666666667,0.2507253016353119,0.0,0.7508690441401171,0,0,1,1,False,False,False,False,False,True
ENSPD000971,Female,24.0,2,0.6127527216174183,25.0,0.7817371937639199,0.383,0.559,1.0,2.0,10.5,No,No,Low,1.0,Yes,Salle 18,71.0,0.4125,0.3156484485511397,0.1502,0.0,0,0,1,0,False,True,False,False,False,False
ENSPD003088,Male,23.0,2,0.8724727838258165,8.0,0.3585746102449889,0.922,0.635,1.0,1.0,6.4,Yes,No,Middle,0.0,Yes,Salle 16,177.0,0.7583333333333333,0.23760128180371773,0.18359999999999999,0.6476742668343078,1,0,1,1,False,False,True,False,False,False
ENSPD000757,Female,22.0,4,0.7278382581648523,18.0,0.6570155902004455,0.435,1.0,2.0,1.0,16.4,No,Yes,Middle,1.0,Yes,Salle 26,230.0,0.6347222222222223,0.24327919113754268,0.33,0.5818364233587374,0,1,1,0,False,False,False,True,False,False
ENSPD001283,Male,28.0,1,0.7884914463452567,14.0,0.4142538975501113,0.48600000000000004,0.397,2.0,1.9,18.4,Yes,Yes,Middle,0.0,Yes,Salle 19,121.0,0.2958333333333333,0.485577386270422,0.3456,0.7508690441401171,1,1,1,1,False,False,False,False,False,True
ENSPD001365,Female,22.0,1,0.5132192846034215,31.0,0.5278396436525613,0.599,0.873,4.0,1.9,20.5,Yes,No,Middle,3.0,Yes,Salle 20,143.0,0.6569444444444444,0.1706991884477824,0.5496000000000001,0.900740336465212,0,0,1,1,True,False,False,False,False,False
ENSPD003470,Male,22.0,3,0.8289269051321929,11.0,0.8942093541202674,0.654,0.648,0.0,1.7,7.4,Yes,No,Middle,0.0,Yes,Salle 30,212.0,0.6749999999999999,0.2570082184552934,0.0,0.9860656366780134,1,0,1,1,False,False,False,False,True,False
ENSPD001282,Female,20.0,3,0.6500777604976672,22.0,0.6269487750556793,0.8270000000000001,0.622,0.0,1.4,8.3,Yes,No,Middle,1.0,Yes,Salle 13,212.0,0.5944444444444444,0.2357434123033406,0.0,0.9860656366780134,0,0,1,1,False,False,False,False,True,False
ENSPD000494,Male,23.0,1,0.457231726283048,35.0,0.4755011135857461,0.386,0.7120000000000001,1.0,3.7,16.3,Yes,No,Middle,2.0,No,Salle 23,149.0,0.3944444444444445,0.2641951029638099,0.13019999999999998,0.6476742668343078,1,0,0,1,False,False,True,False,False,False
ENSPD003059,Male,24.0,3,0.7185069984447902,18.0,0.8318485523385302,0.616,0.596,0.0,1.4,11.9,Yes,No,High,2.0,Yes,Salle 17,104.0,0.6277777777777779,0.24327297293118147,0.0,0.0,1,0,1,1,False,True,False,False,False,False
ENSPD001331,Male,20.0,3,0.8491446345256609,10.0,0.3752783964365256,0.87,0.635,1.0,0.3,7.8,No,No,High,2.0,Yes,Salle 16,212.0,0.4027777777777778,0.4166542398583042,0.1806,0.9860656366780134,1,0,1,0,False,False,False,False,True,False
ENSPD003350,Male,21.0,3,0.6625194401244167,22.0,0.6024498886414253,0.784,0.49,0.0,7.1,28.7,Yes,No,High,0.0,No,Salle 21,154.0,0.4805555555555555,0.29448896296950533,0.0,0.7508690441401171,1,0,0,1,False,False,False,False,False,True
ENSPD003573,Female,20.0,1,0.9999999999999999,0.0,0.5657015590200446,0.7640000000000001,0.419,0.0,1.4,2.4,No,No,Low,0.0,Yes,Salle 21,248.0,0.43194444444444435,0.45303405877038405,0.0,0.5818364233587374,0,0,1,0,False,False,False,True,False,False
ENSPD001943,Female,19.0,3,0.514774494556765,31.0,0.643652561247216,0.589,0.635,0.0,0.9,3.1,No,No,Middle,1.0,No,Salle 10,188.0,0.5361111111111111,0.21589103548690267,0.0,0.900740336465212,0,0,0,0,True,False,False,False,False,False
ENSPD000134,Male,22.0,5,0.7231726283048211,5.0,0.6748329621380846,0.8290000000000001,0.644,2.0,9.4,49.4,No,Yes,Middle,2.0,No,Salle 12,109.0,0.6611111111111111,0.23143735362276727,0.32880000000000004,0.5818364233587374,1,1,0,0,False,False,False,True,False,False
ENSPD001556,Male,21.0,2,0.8087091757387247,12.0,0.6815144766146994,0.355,0.278,0.0,1.5,9.3,Yes,Yes,Middle,0.0,No,Salle 7,185.0,0.3291666666666666,0.4622532119142473,0.0,0.900740336465212,1,1,0,1,True,False,False,False,False,False
ENSPD001059,Male,21.0,4,0.7682737169517885,15.0,0.5545657015590201,0.405,0.622,0.0,0.6,11.2,No,No,High,1.0,Yes,Salle 23,178.0,0.4902777777777778,0.3270574420950647,0.0,0.9860656366780134,1,0,1,0,False,False,False,False,True,False
ENSPD002891,Male,20.0,3,0.906687402799378,6.0,0.5077951002227171,0.9790000000000001,0.634,2.0,0.6,5.3,No,No,High,2.0,Yes,Salle 19,212.0,0.6138888888888889,0.30750843527419736,0.376,0.9860656366780134,1,0,1,0,False,False,False,False,True,False
ENSPD004724,Male,24.0,4,0.7231726283048211,9.0,0.8808463251670379,0.736,0.7590000000000001,3.0,2.1,16.6,No,No,Middle,0.0,No,Salle 11,157.0,0.8125,0.18100467839066284,0.4932000000000001,0.900740336465212,1,0,0,0,True,False,False,False,False,False
ENSPD002483,Female,21.0,2,0.8818040435458788,8.0,1.0,0.42100000000000004,0.517,4.0,0.8,4.5,Yes,Yes,Middle,1.0,Yes,Salle 15,119.0,0.46666666666666656,0.38307810033113154,0.7392000000000001,1.0,0,1,1,1,False,False,False,False,False,False
ENSPD002878,Male,21.0,1,0.5365474339035771,30.0,0.36636971046770606,0.41600000000000004,0.6020000000000001,0.0,7.7,30.3,Yes,No,Middle,1.0,Yes,Salle 1,143.0,0.3833333333333333,0.30335097720138404,0.0,0.900740336465212,1,0,1,1,True,False,False,False,False,False
ENSPD000712,Female,23.0,4,0.7791601866251944,14.0,0.7906458797327395,0.8840000000000001,0.735,0.0,2.4,14.1,Yes,No,Middle,2.0,Yes,Salle 29,173.0,0.7041666666666668,0.23144108958994555,0.0,0.6476742668343078,0,0,1,1,False,False,True,False,False,False
ENSPD003859,Male,20.0,5,0.7309486780715396,17.0,0.6659242761692651,0.711,0.461,1.0,1.4,16.2,No,No,Middle,1.0,Yes,Salle 7,109.0,0.4541666666666666,0.3351081654181316,0.16540000000000002,0.5818364233587374,1,0,1,0,False,False,False,True,False,False
ENSPD000224,Male,24.0,3,0.6547433903576981,22.0,0.7661469933184856,0.593,0.97,0.0,6.7,28.5,No,No,Middle,2.0,Yes,Salle 9,185.0,0.7472222222222222,0.18239482794582826,0.0,0.6476742668343078,1,0,1,0,False,False,True,False,False,False
