student_id,gender,age,filiere,year_of_study,attendance_rate,num_absences,assignments_avg,midterm_score,final_score,project_participation,lab_hours_per_week,infra_usage_hours_month,supervisor_assigned,scholarship,socioeconomic_status,extracurricular_count,lab_access,classroom_allocated,promotion_size,overall_grade,passed,ratio_presence_note,moyenne_examens,engagement_academique
ENSPD000001,Male,21.0,Mecanique,5,0.7791601866251944,14.0,0.7616926503340756,0.855,0.8059999999999999,1.0,1.1,12.9,No,Yes,Middle,1.0,Yes,Salle 8,67.0,0.7208333333333332,1.0,1.0809008706818326,0.8305,2.1
ENSPD000002,Female,17.0,Informatique,4,0.7013996889580093,19.0,0.8340757238307349,0.826,0.057,1.0,1.3,10.8,Yes,No,Middle,3.0,Yes,Salle 29,230.0,0.4027777777777778,1.0,1.7413628904722596,0.4415,2.3
ENSPD000003,Female,21.0,Energetique,4,0.7744945567651632,14.0,0.5590200445434298,0.616,0.728,2.0,0.1,11.5,No,No,Low,2.0,Yes,Salle 5,70.0,0.7430555555555556,1.0,1.0422964043678618,0.6719999999999999,2.1
ENSPD000004,Female,24.0,Mecanique,2,0.9999999999999999,0.0,0.41202672605790647,0.604,0.672,3.0,1.3,3.4,Yes,Yes,Low,1.0,Yes,Salle 4,231.0,0.5555555555555556,1.0,1.7999676005831893,0.638,4.3
ENSPD000005,Male,23.0,GenieCivil,1,0.8911353032659409,7.0,0.4131403118040089,0.652,0.263,2.0,0.2,8.4,Yes,Yes,High,3.0,Yes,Salle 25,149.0,0.31666666666666665,0.0,2.8140226201254936,0.4575,2.2
ENSPD000006,Male,23.0,Informatique,1,0.7247278382581649,18.0,0.3028953229398664,0.6779999999999999,0.721,2.0,4.5,26.9,Yes,No,Middle,1.0,Yes,Salle 27,248.0,0.5027777777777778,1.0,1.4414189649981513,0.6995,6.5
ENSPD000007,Male,21.0,Telecom,3,0.457231726283048,35.0,0.6113585746102449,0.609,0.758,1.0,2.1,12.6,No,No,Low,0.0,Yes,Salle 6,154.0,0.5097222222222222,1.0,0.8970037724703891,0.6835,3.1
ENSPD000008,Female,19.0,Informatique,5,0.6267496111975116,24.0,0.5456570155902005,0.718,0.269,0.0,0.1,6.9,Yes,No,Middle,1.0,Yes,Salle 28,109.0,0.3666666666666667,0.0,1.7092705049794412,0.4935,0.1
ENSPD000009,Female,23.0,Telecom,1,0.8522550544323483,10.0,0.7416481069042317,0.312,0.40299999999999997,0.0,3.5,24.3,No,No,Low,1.0,Yes,Salle 13,121.0,0.31944444444444453,0.0,2.667845350890279,0.3575,3.5
ENSPD000010,Female,20.0,Informatique,3,0.500777604976672,32.0,0.6135857461024499,0.657,1.0,1.0,0.9,16.6,Yes,No,Middle,1.0,Yes,Salle 17,263.0,0.6930555555555555,1.0,0.7225544552928372,0.8285,1.9
