student_id,gender,age,filiere,year_of_study,attendance_rate,num_absences,assignments_avg,midterm_score,final_score,project_participation,lab_hours_per_week,infra_usage_hours_month,supervisor_assigned,scholarship,socioeconomic_status,extracurricular_count,lab_access,classroom_allocated,promotion_size,overall_grade,passed
ENSPD000001,Male,21.0,Mecanique,5,85.8,14.0,78.6,85.5,80.6,1.0,1.1,12.9,No,Yes,Middle,1.0,Yes,Salle 8,67.0,75.1,1.0
ENSPD000002,Female,17.0,Informatique,4,80.8,19.0,85.1,82.6,5.7,1.0,1.3,10.8,Yes,No,Middle,3.0,Yes,Salle 29,230.0,52.2,1.0
ENSPD000003,Female,21.0,Energetique,4,85.5,14.0,60.4,61.6,72.8,2.0,0.1,11.5,No,No,Low,2.0,Yes,Salle 5,70.0,76.7,1.0
ENSPD000004,Female,24.0,Mecanique,2,100.0,0.0,47.2,60.4,67.2,3.0,1.3,3.4,Yes,Yes,Low,1.0,Yes,Salle 4,231.0,63.2,1.0
ENSPD000005,Male,23.0,GenieCivil,1,93.0,7.0,47.3,65.2,26.3,2.0,0.2,8.4,Yes,Yes,High,3.0,Yes,Salle 25,149.0,46.0,0.0
ENSPD000006,Male,23.0,Informatique,1,82.3,18.0,37.4,67.8,72.1,2.0,4.5,26.9,Yes,No,Middle,1.0,Yes,Salle 27,248.0,59.4,1.0
ENSPD000007,Male,21.0,Telecom,3,65.1,35.0,65.1,60.9,75.8,1.0,2.1,12.6,No,No,Low,0.0,Yes,Salle 6,154.0,59.9,1.0
ENSPD000008,Female,19.0,Informatique,5,76.0,24.0,59.2,71.8,26.9,0.0,0.1,6.9,Yes,No,Middle,1.0,Yes,Salle 28,109.0,49.6,0.0
ENSPD000009,Female,23.0,Telecom,1,90.5,10.0,76.8,31.2,40.3,0.0,3.5,24.3,No,No,Low,1.0,Yes,Salle 13,121.0,46.2,0.0
ENSPD000010,Female,20.0,Informatique,3,67.9,32.0,65.3,65.7,100.0,1.0,0.9,16.6,Yes,No,Middle,1.0,Yes,Salle 17,263.0,73.1,1.0
ENSPD000011,Male,26.0,Telecom,4,100.0,0.0,57.6,37.2,60.3,0.0,0.5,5.4,No,No,Middle,2.0,Yes,Salle 30,121.0,52.2,1.0
ENSPD000012,Female,23.0,Chimie,5,82.2,18.0,63.3,44.7,83.5,3.0,0.6,7.0,No,No,Low,2.0,Yes,Salle 7,48.0,62.9,1.0
ENSPD000013,Female,21.0,Informatique,3,82.6,17.0,49.4,75.2,86.5,2.0,1.8,14.0,Yes,No,Middle,1.0,Yes,Salle 26,263.0,74.6,1.0
ENSPD000014,Male,21.0,Electrique,5,74.0,26.0,80.4,58.4,71.9,0.0,0.2,0.9,No,Yes,Low,0.0,Yes,Salle 12,80.0,65.1,1.0
ENSPD000015,Male,22.0,Mecanique,2,82.2,12.0,53.2,74.6,84.3,0.0,0.1,0.0,Yes,No,Middle,4.0,Yes,Salle 24,231.0,73.4,1.0
ENSPD000016,Male,22.0,Informatique,2,68.1,32.0,47.9,58.0,21.7,0.0,2.0,7.7,Yes,No,Low,2.0,Yes,Salle 4,298.0,37.3,0.0
ENSPD000017,Male,24.0,Telecom,3,100.0,0.0,77.3,81.9,59.4,2.0,8.0,35.9,No,No,Low,0.0,No,Salle 3,154.0,74.5,1.0
ENSPD000018,Male,22.0,GenieCivil,2,97.8,2.0,65.1,57.7,2.4,2.0,1.3,7.3,No,Yes,Middle,1.0,Yes,Salle 14,177.0,40.0,0.0
ENSPD000019,Male,21.0,Mecanique,1,93.8,6.0,39.1,26.8,29.1,0.0,1.1,6.1,Yes,Yes,Middle,1.0,No,Salle 17,186.0,39.2,0.0
ENSPD000020,Male,26.0,Informatique,4,65.3,35.0,77.8,66.1,53.1,2.0,1.4,28.8,Yes,Yes,Middle,1.0,Yes,Salle 27,230.0,68.2,1.0
ENSPD000021,Female,22.0,Mecanique,4,84.5,16.0,53.9,23.0,50.7,2.0,0.6,7.3,Yes,No,Low,2.0,Yes,Salle 8,178.0,41.3,0.0
ENSPD000022,Male,24.0,Telecom,4,96.5,4.0,59.4,35.9,64.8,2.0,0.6,4.4,No,No,Middle,1.0,No,Salle 26,121.0,50.3,1.0
ENSPD000023,Male,21.0,Mecanique,2,89.1,11.0,67.8,46.1,63.6,2.0,4.7,17.3,No,No,Middle,0.0,No,Salle 25,231.0,65.3,1.0
ENSPD000024,Male,23.0,Energetique,3,70.0,30.0,73.8,43.9,66.7,1.0,2.1,15.0,Yes,Yes,Low,1.0,Yes,Salle 11,104.0,60.0,1.0
ENSPD000025,Male,23.0,Energetique,2,74.2,26.0,71.7,52.2,67.5,0.0,0.1,9.6,Yes,No,Middle,1.0,No,Salle 26,71.0,58.6,1.0
ENSPD000026,Female,18.0,Informatique,1,76.6,23.0,64.3,43.2,70.7,1.0,2.2,11.3,Yes,Yes,Middle,1.0,Yes,Salle 26,248.0,55.7,1.0
ENSPD000027,Male,26.0,Informatique,3,74.8,25.0,58.6,36.7,44.8,3.0,3.4,17.1,Yes,No,Low,1.0,Yes,Salle 12,263.0,44.7,0.0
ENSPD000028,Male,25.0,Telecom,1,100.0,0.0,71.2,89.8,49.5,0.0,1.4,10.7,Yes,No,Middle,1.0,Yes,Salle 30,121.0,71.8,1.0
ENSPD000029,Female,21.0,Mecanique,1,58.9,41.0,63.2,49.8,63.3,1.0,1.0,13.2,Yes,No,Low,1.0,No,Salle 30,186.0,56.2,1.0
ENSPD000030,Male,20.0,Informatique,4,89.9,10.0,92.1,21.8,63.6,1.0,0.4,4.8,No,No,Low,2.0,Yes,Salle 26,230.0,60.1,1.0
ENSPD000031,Female,23.0,Mecanique,1,66.5,34.0,73.8,55.5,42.4,2.0,2.0,12.6,Yes,No,Middle,0.0,No,Salle 10,186.0,52.0,1.0
ENSPD000032,Male,22.0,Electrique,5,70.5,30.0,51.1,41.8,85.6,0.0,2.2,19.7,No,No,Low,0.0,No,Salle 27,80.0,60.5,1.0
ENSPD000033,Male,23.0,Chimie,3,57.9,42.0,57.8,46.1,78.5,1.0,0.1,8.9,No,No,Low,0.0,No,Salle 9,130.0,59.0,1.0
ENSPD000034,Female,22.0,Informatique,5,75.4,25.0,65.7,74.8,46.8,3.0,2.3,9.6,Yes,Yes,Middle,0.0,Yes,Salle 26,109.0,59.8,1.0
ENSPD000035,Female,23.0,Informatique,1,100.0,0.0,84.5,53.9,63.5,0.0,2.1,6.5,Yes,No,Low,1.0,Yes,Salle 4,248.0,63.6,1.0
ENSPD000036,Female,25.0,Telecom,3,85.2,15.0,86.2,41.3,100.0,2.0,0.1,4.3,No,Yes,High,0.0,Yes,Salle 5,154.0,76.9,1.0
ENSPD000037,Male,23.0,Chimie,2,67.6,32.0,59.1,70.0,63.5,2.0,1.6,7.5,Yes,No,Middle,3.0,Yes,Salle 5,119.0,55.8,1.0
ENSPD000038,Male,20.0,Electrique,4,94.2,6.0,51.0,82.7,71.9,2.0,1.9,14.5,No,No,Low,1.0,Yes,Salle 22,157.0,71.5,1.0
ENSPD000039,Female,25.0,Chimie,2,82.2,3.0,49.1,71.7,51.8,2.0,1.1,12.3,Yes,No,Low,0.0,Yes,Salle 16,119.0,53.8,1.0
ENSPD000040,Male,25.0,GenieCivil,2,83.2,17.0,68.8,17.8,57.7,0.0,1.4,24.4,Yes,No,High,1.0,Yes,Salle 13,177.0,46.5,0.0
ENSPD000041,Male,28.0,Chimie,4,100.0,0.0,99.6,41.9,63.5,1.0,0.8,11.5,No,No,Middle,2.0,Yes,Salle 2,93.0,81.6,1.0
ENSPD000042,Male,20.0,Mecanique,2,91.9,8.0,73.1,62.9,66.3,1.0,0.1,0.3,Yes,No,Middle,2.0,Yes,Salle 18,231.0,69.7,1.0
ENSPD000043,Male,22.0,Mecanique,1,90.2,10.0,41.1,57.6,62.6,2.0,2.2,16.4,No,Yes,Middle,2.0,Yes,Salle 27,186.0,54.6,1.0
ENSPD000044,Female,18.0,Chimie,2,72.4,28.0,54.1,56.1,64.2,1.0,1.9,15.9,Yes,No,Middle,1.0,No,Salle 5,119.0,53.9,1.0
ENSPD000045,Male,23.0,GenieCivil,3,89.5,10.0,55.6,44.3,100.0,1.0,9.0,45.4,Yes,No,Low,0.0,No,Salle 5,185.0,69.5,1.0
ENSPD000046,Female,21.0,Energetique,2,84.6,15.0,52.7,36.7,64.8,1.0,0.5,5.8,Yes,No,Middle,2.0,No,Salle 17,71.0,55.5,1.0
ENSPD000047,Male,26.0,Mecanique,2,88.2,12.0,59.2,98.1,47.4,2.0,1.0,8.6,Yes,No,Middle,1.0,Yes,Salle 9,231.0,61.5,1.0
ENSPD000048,Male,20.0,Telecom,1,73.8,26.0,70.5,62.5,50.9,2.0,1.2,13.0,No,No,Middle,1.0,Yes,Salle 2,121.0,56.0,1.0
