gender,age,filiere,year_of_study,attendance_rate,num_absences,assignments_avg,midterm_score,final_score,project_participation,lab_hours_per_week,infra_usage_hours_month,supervisor_assigned,scholarship,socioeconomic_status,extracurricular_count,lab_access,classroom_allocated,promotion_size
Male,20.0,Informatique,5,79.8,20.0,51.2,59.5,63.5,0.0,0.2,8.8,Yes,No,Middle,1.0,Yes,Salle 7,109.0
Female,25.0,Telecom,2,86.2,14.0,55.9,58.5,80.3,5.0,0.3,2.1,Yes,No,High,2.0,Yes,Salle 30,161.0
Male,23.0,Informatique,1,87.7,12.0,81.6,47.2,98.8,2.0,0.6,9.4,Yes,No,Low,0.0,Yes,Salle 23,248.0
Male,20.0,Informatique,1,92.8,7.0,67.2,64.5,45.8,2.0,0.5,11.5,No,No,Middle,0.0,Yes,Salle 18,248.0
Male,25.0,Informatique,5,69.4,31.0,79.4,63.4,77.5,0.0,0.4,2.2,No,Yes,Low,0.0,Yes,Salle 20,109.0
Female,22.0,GenieCivil,4,60.6,39.0,60.1,53.6,63.1,1.0,6.1,11.5,Yes,No,Low,0.0,Yes,Salle 30,173.0
Male,23.0,Electrique,5,80.7,19.0,77.7,57.8,63.5,1.0,2.1,12.6,Yes,No,Middle,1.0,No,Salle 4,80.0
Female,23.0,Telecom,2,75.9,24.0,73.6,43.8,60.7,0.0,1.8,12.4,Yes,No,Middle,0.0,Yes,Salle 28,161.0
Female,24.0,Energetique,2,75.1,25.0,80.4,38.3,55.9,1.0,2.0,10.5,No,No,Low,1.0,Yes,Salle 18,71.0
Male,23.0,GenieCivil,2,91.8,8.0,42.4,92.2,63.5,1.0,1.0,6.4,Yes,No,Middle,0.0,Yes,Salle 16,177.0
Female,22.0,Informatique,4,82.5,18.0,69.2,43.5,100.0,2.0,1.0,16.4,No,Yes,Middle,1.0,Yes,Salle 26,230.0
Male,28.0,Telecom,1,86.4,14.0,47.4,48.6,39.7,2.0,1.9,18.4,Yes,Yes,Middle,0.0,Yes,Salle 19,121.0
Female,22.0,Electrique,1,68.7,31.0,57.6,59.9,87.3,4.0,1.9,20.5,Yes,No,Middle,3.0,Yes,Salle 20,143.0
Male,22.0,Mecanique,3,89.0,11.0,90.5,65.4,64.8,0.0,1.7,7.4,Yes,No,Middle,0.0,Yes,Salle 30,212.0
Female,20.0,Mecanique,3,77.5,22.0,66.5,82.7,62.2,0.0,1.4,8.3,Yes,No,Middle,1.0,Yes,Salle 13,212.0
Male,23.0,GenieCivil,1,65.1,35.0,52.9,38.6,71.2,1.0,3.7,16.3,Yes,No,Middle,2.0,No,Salle 23,149.0
Male,24.0,Energetique,3,81.9,18.0,84.9,61.6,59.6,0.0,1.4,11.9,Yes,No,High,2.0,Yes,Salle 17,104.0
Male,20.0,Mecanique,3,90.3,10.0,43.9,87.0,63.5,1.0,0.3,7.8,No,No,High,2.0,Yes,Salle 16,212.0
Male,21.0,Telecom,3,78.3,22.0,64.3,78.4,49.0,0.0,7.1,28.7,Yes,No,High,0.0,No,Salle 21,154.0
Female,20.0,Informatique,1,100.0,0.0,61.0,76.4,41.9,0.0,1.4,2.4,No,No,Low,0.0,Yes,Salle 21,248.0
Female,19.0,Electrique,3,68.8,31.0,68.0,58.9,63.5,0.0,0.9,3.1,No,No,Middle,1.0,No,Salle 10,188.0
Male,22.0,Informatique,5,82.2,5.0,70.8,82.9,64.4,2.0,9.4,49.4,No,Yes,Middle,2.0,No,Salle 12,109.0
Male,21.0,Electrique,2,87.7,12.0,71.4,35.5,27.8,0.0,1.5,9.3,Yes,Yes,Middle,0.0,No,Salle 7,185.0
Male,21.0,Mecanique,4,85.1,15.0,60.0,40.5,62.2,0.0,0.6,11.2,No,No,High,1.0,Yes,Salle 23,178.0
Male,20.0,Mecanique,3,94.0,6.0,55.8,97.9,63.4,2.0,0.6,5.3,No,No,High,2.0,Yes,Salle 19,212.0
Male,24.0,Electrique,4,82.2,9.0,89.3,73.6,75.9,3.0,2.1,16.6,No,No,Middle,0.0,No,Salle 11,157.0
Female,21.0,Chimie,2,92.4,8.0,100.0,42.1,51.7,4.0,0.8,4.5,Yes,Yes,Middle,1.0,Yes,Salle 15,119.0
Male,21.0,Electrique,1,70.2,30.0,43.1,41.6,60.2,0.0,7.7,30.3,Yes,No,Middle,1.0,Yes,Salle 1,143.0
Female,23.0,GenieCivil,4,85.8,14.0,81.2,88.4,73.5,0.0,2.4,14.1,Yes,No,Middle,2.0,Yes,Salle 29,173.0
Male,20.0,Informatique,5,82.7,17.0,70.0,71.1,46.1,1.0,1.4,16.2,No,No,Middle,1.0,Yes,Salle 7,109.0
Male,24.0,GenieCivil,3,77.8,22.0,79.0,59.3,97.0,0.0,6.7,28.5,No,No,Middle,2.0,Yes,Salle 9,185.0
Male,19.0,Informatique,1,100.0,0.0,63.0,78.0,34.5,4.0,9.3,48.1,Yes,Yes,Low,0.0,Yes,Salle 2,248.0
Male,19.0,GenieCivil,3,77.8,22.0,52.0,83.2,76.3,0.0,0.2,4.9,No,No,Middle,1.0,Yes,Salle 8,185.0
Female,18.0,GenieCivil,1,83.0,17.0,76.5,48.4,44.9,1.0,0.1,8.0,Yes,Yes,Middle,4.0,No,Salle 24,149.0
Male,24.0,Chimie,2,47.5,52.0,43.3,74.6,57.6,4.0,1.8,14.6,Yes,No,Middle,1.0,No,Salle 19,119.0
Male,20.0,Mecanique,2,60.1,40.0,72.2,55.1,96.1,1.0,0.2,6.2,Yes,No,Middle,1.0,Yes,Salle 23,231.0
Female,22.0,Mecanique,3,81.0,19.0,66.4,79.2,69.5,1.0,0.3,2.6,No,No,Middle,1.0,No,Salle 2,212.0
Male,23.0,GenieCivil,4,68.0,32.0,55.0,49.1,100.0,0.0,1.7,9.9,Yes,No,Middle,1.0,No,Salle 12,173.0
Male,23.0,GenieCivil,2,100.0,0.0,83.5,74.1,28.5,0.0,1.1,9.4,Yes,No,Middle,1.0,Yes,Salle 5,177.0
Male,24.0,Telecom,5,81.1,19.0,66.2,5.1,66.5,1.0,0.7,1.5,Yes,No,Low,2.0,No,Salle 22,60.0
Female,19.0,Energetique,3,77.8,22.0,73.7,49.9,26.6,0.0,1.4,22.1,No,Yes,Middle,1.0,Yes,Salle 1,104.0
Male,21.0,Chimie,5,91.6,8.0,58.8,44.7,63.5,2.0,1.0,14.3,No,No,Middle,0.0,No,Salle 4,48.0
Female,20.0,Chimie,1,90.6,9.0,69.1,68.4,24.5,0.0,0.8,5.3,No,No,High,1.0,Yes,Salle 25,96.0
Male,27.0,Informatique,3,95.7,4.0,54.1,92.9,41.9,0.0,1.4,5.1,No,No,Middle,2.0,Yes,Salle 9,263.0
Male,21.0,Electrique,3,91.4,9.0,74.1,53.9,84.2,1.0,0.5,11.5,Yes,No,Middle,1.0,Yes,Salle 16,188.0
Male,20.0,Mecanique,2,85.2,15.0,78.2,86.0,78.5,1.0,2.0,10.8,Yes,No,Low,2.0,Yes,Salle 22,231.0
Male,23.0,Mecanique,3,87.9,12.0,77.0,94.6,16.9,1.0,1.4,5.4,No,Yes,Middle,2.0,Yes,Salle 4,212.0
Female,21.0,Mecanique,5,100.0,0.0,85.5,65.2,63.5,0.0,0.6,4.5,Yes,No,Middle,1.0,Yes,Salle 7,67.0
Female,22.0,Chimie,3,81.9,18.0,83.9,62.0,49.3,3.0,1.9,17.1,No,No,Middle,0.0,Yes,Salle 20,130.0
Female,19.0,Mecanique,1,89.1,11.0,56.6,68.3,54.8,0.0,2.9,12.0,Yes,No,Middle,0.0,Yes,Salle 7,186.0
Male,21.0,Mecanique,2,83.6,16.0,65.1,68.5,44.3,0.0,3.4,12.5,Yes,Yes,Low,1.0,Yes,Salle 26,231.0
Male,23.0,Energetique,4,71.3,29.0,79.9,61.6,15.3,0.0,11.8,50.0,Yes,No,Middle,1.0,No,Salle 4,70.0
Other,23.0,Energetique,5,69.2,31.0,65.1,48.7,87.2,2.0,1.4,31.1,Yes,No,Middle,2.0,Yes,Salle 15,40.0
Female,17.0,Energetique,1,78.2,22.0,63.7,59.0,43.6,1.0,1.6,13.0,Yes,No,Low,0.0,No,Salle 23,83.0
Female,21.0,Mecanique,3,95.4,5.0,65.2,44.3,70.0,0.0,4.0,19.8,Yes,No,Middle,1.0,Yes,Salle 27,212.0
Male,22.0,Energetique,2,100.0,0.0,58.5,46.8,75.4,2.0,4.4,24.0,No,No,Middle,1.0,Yes,Salle 1,71.0
Male,23.0,Informatique,3,71.2,29.0,96.9,57.9,48.8,1.0,0.1,3.4,No,No,Low,0.0,Yes,Salle 25,263.0
Female,20.0,Informatique,3,67.9,32.0,65.3,65.7,100.0,1.0,0.9,16.6,Yes,No,Middle,1.0,Yes,Salle 17,263.0
Male,20.0,Electrique,3,86.8,13.0,67.5,55.9,94.4,5.0,1.0,6.6,No,Yes,Middle,1.0,Yes,Salle 26,188.0
Female,24.0,Electrique,2,80.2,20.0,81.4,46.8,87.4,1.0,1.4,5.4,No,Yes,Middle,0.0,Yes,Salle 16,185.0
Female,20.0,Telecom,1,100.0,0.0,68.0,65.4,11.0,0.0,0.1,3.4,No,No,Middle,1.0,Yes,Salle 5,121.0
Female,19.0,Informatique,1,73.7,26.0,81.8,57.4,12.3,2.0,1.4,15.1,No,Yes,Middle,1.0,Yes,Salle 6,248.0
Female,17.0,Energetique,2,89.7,10.0,69.0,68.0,63.5,0.0,2.8,21.2,Yes,No,Low,1.0,Yes,Salle 8,71.0
Female,23.0,Chimie,3,64.3,36.0,63.4,61.2,39.1,1.0,2.2,13.4,Yes,Yes,Middle,0.0,No,Salle 30,130.0
Female,18.0,Informatique,4,62.1,38.0,73.9,64.2,21.3,2.0,2.1,11.5,No,No,Low,1.0,Yes,Salle 29,230.0
Female,26.0,Mecanique,4,82.7,17.0,75.9,36.5,85.1,0.0,0.0,5.2,Yes,Yes,Middle,0.0,Yes,Salle 5,178.0
Male,23.0,Energetique,4,87.4,18.0,47.4,54.8,63.5,1.0,1.4,16.6,Yes,Yes,Middle,1.0,Yes,Salle 26,70.0
Male,21.0,Informatique,2,89.6,10.0,31.7,74.5,41.4,0.0,0.7,10.8,No,No,Low,0.0,Yes,Salle 14,298.0
Male,20.0,Informatique,3,88.2,12.0,92.3,43.2,36.7,5.0,1.2,9.6,Yes,No,Low,0.0,No,Salle 13,263.0
Male,21.0,Mecanique,4,87.1,13.0,63.0,85.2,27.2,1.0,1.6,13.2,Yes,No,Middle,1.0,Yes,Salle 19,178.0
Male,20.0,Informatique,1,62.7,37.0,60.9,99.0,33.7,1.0,0.9,7.3,No,No,Middle,0.0,No,Salle 14,248.0
Female,23.0,Chimie,2,81.0,19.0,64.4,63.8,88.8,0.0,1.8,14.7,Yes,Yes,Low,1.0,Yes,Salle 14,119.0
Female,23.0,Mecanique,5,79.6,20.0,68.1,58.9,69.9,0.0,1.4,11.5,Yes,No,Middle,0.0,No,Salle 13,67.0
Male,19.0,Electrique,3,70.4,30.0,55.4,69.2,76.6,1.0,1.4,8.3,No,Yes,Low,0.0,Yes,Salle 23,188.0
Female,21.0,Informatique,4,73.4,27.0,100.0,59.1,67.0,1.0,1.0,15.4,No,No,Middle,3.0,Yes,Salle 2,230.0
Male,23.0,Telecom,4,85.4,15.0,83.6,100.0,71.6,1.0,1.4,14.1,No,No,Middle,0.0,No,Salle 27,121.0
Male,24.0,GenieCivil,4,100.0,0.0,40.2,70.2,39.6,0.0,8.0,40.7,No,No,Middle,1.0,Yes,Salle 24,173.0
Male,21.0,Electrique,3,100.0,0.0,66.4,65.5,42.7,2.0,0.6,7.1,Yes,Yes,Middle,0.0,Yes,Salle 29,188.0
Male,21.0,Energetique,3,100.0,0.0,73.2,31.9,61.4,1.0,0.4,3.8,No,No,Middle,1.0,Yes,Salle 20,104.0
Female,20.0,Informatique,4,63.3,37.0,62.9,68.4,23.7,1.0,0.2,4.3,No,No,Middle,1.0,No,Salle 30,230.0
Male,21.0,Electrique,4,66.9,33.0,65.1,76.2,63.5,0.0,1.4,5.9,Yes,No,Middle,1.0,Yes,Salle 24,157.0
Male,20.0,Mecanique,1,56.2,44.0,92.1,49.6,53.6,2.0,0.1,15.7,Yes,No,Middle,1.0,Yes,Salle 18,186.0
Male,22.0,Electrique,1,70.4,30.0,81.1,79.4,62.4,1.0,0.7,11.5,Yes,Yes,Low,1.0,No,Salle 11,143.0
Female,24.0,Telecom,2,67.7,32.0,74.2,81.5,26.4,0.0,0.7,16.5,Yes,No,Middle,0.0,Yes,Salle 6,161.0
Female,23.0,Mecanique,3,87.1,13.0,65.5,56.6,74.4,1.0,6.7,29.3,Yes,No,Low,0.0,No,Salle 13,212.0
Female,22.0,Electrique,4,69.7,30.0,61.6,37.3,47.8,3.0,2.9,16.5,No,No,Low,0.0,Yes,Salle 19,157.0
Male,24.0,Informatique,4,79.4,21.0,46.2,100.0,87.1,1.0,2.6,14.0,No,Yes,Middle,4.0,Yes,Salle 27,230.0
Male,21.0,Telecom,3,90.3,10.0,76.3,58.4,58.7,0.0,0.1,10.6,Yes,No,Middle,0.0,Yes,Salle 29,154.0
Male,24.0,Informatique,2,91.3,9.0,68.6,92.7,62.5,1.0,4.3,15.3,Yes,Yes,Middle,0.0,Yes,Salle 2,298.0
Female,18.0,Electrique,4,84.6,15.0,33.1,49.6,60.5,2.0,6.7,30.8,Yes,No,Middle,1.0,Yes,Salle 22,157.0
Male,22.0,Informatique,1,84.7,15.0,53.4,99.9,52.8,1.0,0.1,0.0,Yes,No,Low,1.0,No,Salle 14,248.0
Male,21.0,Electrique,3,68.4,32.0,52.1,56.4,55.1,1.0,1.5,4.2,Yes,No,High,0.0,No,Salle 30,188.0
Male,22.0,Electrique,3,85.8,14.0,73.2,47.3,37.9,2.0,0.7,1.1,No,Yes,Low,1.0,No,Salle 8,188.0
Male,22.0,Mecanique,4,96.7,3.0,76.7,54.1,39.0,0.0,2.2,14.6,Yes,No,Middle,0.0,Yes,Salle 5,178.0
Male,18.0,Mecanique,2,100.0,0.0,74.8,92.5,29.4,1.0,0.9,11.7,No,No,Low,0.0,Yes,Salle 9,231.0
Male,24.0,Energetique,2,85.3,15.0,74.5,63.7,63.0,3.0,0.2,2.9,No,No,Low,0.0,Yes,Salle 26,71.0
Female,22.0,Mecanique,3,79.3,21.0,56.0,85.4,72.2,0.0,2.3,17.2,No,No,Middle,2.0,Yes,Salle 13,212.0
Male,23.0,Informatique,1,93.0,7.0,93.9,47.7,100.0,1.0,3.3,19.1,No,No,Low,1.0,Yes,Salle 30,248.0
Male,21.0,Chimie,1,100.0,0.0,97.2,34.5,81.7,1.0,1.8,14.3,No,No,Middle,3.0,Yes,Salle 24,96.0
Female,23.0,Electrique,2,78.7,21.0,73.3,100.0,49.3,2.0,1.4,1.4,No,No,Low,3.0,Yes,Salle 29,185.0
Female,23.0,Informatique,3,74.1,26.0,63.5,48.8,86.6,0.0,0.7,10.6,No,No,Middle,1.0,Yes,Salle 18,263.0
Male,22.0,Telecom,4,86.3,14.0,93.2,69.3,63.5,2.0,0.6,9.4,Yes,No,Middle,3.0,No,Salle 19,121.0
Male,26.0,GenieCivil,1,66.1,34.0,84.6,32.4,89.0,3.0,2.8,11.5,Yes,No,Middle,0.0,Yes,Salle 15,149.0
Female,25.0,Informatique,3,73.3,27.0,48.7,71.6,56.3,1.0,0.9,7.2,No,No,Low,1.0,Yes,Salle 3,263.0
