student_id,gender,age,year_of_study,attendance_rate,num_absences,assignments_avg,midterm_score,final_score,project_participation,lab_hours_per_week,infra_usage_hours_month,supervisor_assigned,scholarship,socioeconomic_status,extracurricular_count,lab_access,classroom_allocated,promotion_size,overall_grade,passed,ratio_presence_note,participation_projets_ponderee,moyenne_filiere,gender_encoded,scholarship_encoded,lab_access_encoded,supervisor_assigned_encoded,filiere_Electrique,filiere_Energetique,filiere_GenieCivil,filiere_Informatique,filiere_Mecanique,filiere_Telecom
ENSPD000001,Male,21.0,5,0.7791601866251944,14.0,0.7616926503340756,0.855,0.8059999999999999,1.0,1.1,12.9,No,Yes,Middle,1.0,Yes,Salle 8,67.0,0.7208333333333332,1.0,0.225400863966601,0.1716,61.916933638443936,1,1,1,0,False,False,False,False,True,False
ENSPD000002,Female,17.0,4,0.7013996889580093,19.0,0.8340757238307349,0.826,0.057,1.0,1.3,10.8,Yes,No,Middle,3.0,Yes,Salle 29,230.0,0.4027777777777778,1.0,0.35739963061267865,0.1616,61.36358885017421,0,0,1,1,False,False,False,True,False,False
ENSPD000003,Female,21.0,4,0.7744945567651632,14.0,0.5590200445434298,0.616,0.728,2.0,0.1,11.5,No,No,Low,2.0,Yes,Salle 5,70.0,0.7430555555555556,1.0,0.21636774637837855,0.342,60.567119565217396,0,0,1,0,False,True,False,False,False,False
ENSPD000004,Female,24.0,2,0.9999999999999999,0.0,0.41202672605790647,0.604,0.672,3.0,1.3,3.4,Yes,Yes,Low,1.0,Yes,Salle 4,231.0,0.5555555555555556,1.0,0.36859525550629024,0.6,61.916933638443936,0,1,1,1,False,False,False,False,True,False
ENSPD000005,Male,23.0,1,0.8911353032659409,7.0,0.4131403118040089,0.652,0.263,2.0,0.2,8.4,Yes,Yes,High,3.0,Yes,Salle 25,149.0,0.31666666666666665,0.0,0.511678548169287,0.372,61.453713527851455,1,1,1,1,False,False,True,False,False,False
ENSPD000006,Male,23.0,1,0.7247278382581649,18.0,0.3028953229398664,0.6779999999999999,0.721,2.0,4.5,26.9,Yes,No,Middle,1.0,Yes,Salle 27,248.0,0.5027777777777778,1.0,0.304533567065439,0.3292,61.36358885017421,1,0,1,1,False,False,False,True,False,False
ENSPD000007,Male,21.0,3,0.457231726283048,35.0,0.6113585746102449,0.609,0.758,1.0,2.1,12.6,No,No,Low,0.0,Yes,Salle 6,154.0,0.5097222222222222,1.0,0.20727685547740363,0.13019999999999998,61.59497568881685,1,0,1,0,False,False,False,False,False,True
ENSPD000008,Female,19.0,5,0.6267496111975116,24.0,0.5456570155902005,0.718,0.269,0.0,0.1,6.9,Yes,No,Middle,1.0,Yes,Salle 28,109.0,0.3666666666666667,0.0,0.3523091617186006,0.0,61.36358885017421,0,0,1,1,False,False,False,True,False,False
ENSPD000009,Female,23.0,1,0.8522550544323483,10.0,0.7416481069042317,0.312,0.40299999999999997,0.0,3.5,24.3,No,No,Low,1.0,Yes,Salle 13,121.0,0.31944444444444453,0.0,0.49121053615692645,0.0,61.59497568881685,0,0,1,0,False,False,False,False,False,True
ENSPD000010,Female,20.0,3,0.500777604976672,32.0,0.6135857461024499,0.657,1.0,1.0,0.9,16.6,Yes,No,Middle,1.0,Yes,Salle 17,263.0,0.6930555555555555,1.0,0.1558512095660425,0.1358,61.36358885017421,0,0,1,1,False,False,False,True,False,False
ENSPD000011,Male,26.0,4,0.9999999999999999,0.0,0.5278396436525613,0.37200000000000005,0.603,0.0,0.5,5.4,No,No,Middle,2.0,Yes,Salle 30,121.0,0.4027777777777778,1.0,0.47715631456173235,0.0,61.59497568881685,1,0,1,0,False,False,False,False,False,True
ENSPD000012,Female,23.0,5,0.7231726283048211,18.0,0.5913140311804008,0.44700000000000006,0.835,3.0,0.6,7.0,No,No,Low,2.0,Yes,Salle 7,48.0,0.5513888888888888,1.0,0.2789144329889329,0.4932000000000001,61.93600823045268,0,0,1,0,False,False,False,False,False,False
ENSPD000013,Female,21.0,3,0.7293934681181958,17.0,0.4365256124721604,0.752,0.865,2.0,1.8,14.0,Yes,No,Middle,1.0,Yes,Salle 26,263.0,0.7138888888888888,1.0,0.21392774605685613,0.33039999999999997,61.36358885017421,0,0,1,1,False,False,False,True,False,False
ENSPD000014,Male,21.0,5,0.5956454121306377,26.0,0.7817371937639199,0.584,0.7190000000000001,0.0,0.2,0.9,No,Yes,Low,0.0,Yes,Salle 12,80.0,0.5819444444444444,1.0,0.22352418115375197,0.0,61.800132802124836,1,1,1,0,True,False,False,False,False,False
ENSPD000015,Male,22.0,2,0.7231726283048211,12.0,0.4788418708240535,0.746,0.843,0.0,0.1,0.0,Yes,No,Middle,4.0,Yes,Salle 24,231.0,0.6972222222222222,1.0,0.21804722197697965,0.0,61.916933638443936,1,0,1,1,False,False,False,False,True,False
ENSPD000016,Male,22.0,2,0.5038880248833592,32.0,0.4198218262806236,0.58,0.217,0.0,2.0,7.7,Yes,No,Low,2.0,Yes,Salle 4,298.0,0.1958333333333333,0.0,0.4478625694877568,0.0,61.36358885017421,1,0,1,1,False,False,False,True,False,False
ENSPD000017,Male,24.0,3,0.9999999999999999,0.0,0.7472160356347438,0.8190000000000001,0.594,2.0,8.0,35.9,No,No,Low,0.0,No,Salle 3,154.0,0.7124999999999999,1.0,0.29045513352162977,0.4,61.59497568881685,1,0,0,0,False,False,False,False,False,True
ENSPD000018,Male,22.0,2,0.9657853810264384,2.0,0.6113585746102449,0.5770000000000001,0.024,2.0,1.3,7.3,No,Yes,Middle,1.0,Yes,Salle 14,177.0,0.2333333333333334,0.0,0.6494873837165811,0.3912,61.453713527851455,1,1,1,0,False,False,True,False,False,False
ENSPD000019,Male,21.0,1,0.9035769828926904,6.0,0.3218262806236081,0.268,0.29100000000000004,0.0,1.1,6.1,Yes,Yes,Middle,1.0,No,Salle 17,186.0,0.22222222222222232,0.0,0.632510266899669,0.0,61.916933638443936,1,1,0,1,False,False,False,False,True,False
ENSPD000020,Male,26.0,4,0.46034214618973557,35.0,0.7527839643652561,0.6609999999999999,0.531,2.0,1.4,28.8,Yes,Yes,Middle,1.0,Yes,Salle 27,230.0,0.625,1.0,0.16516741252997472,0.2612,61.36358885017421,1,1,1,1,False,False,False,True,False,False
ENSPD000021,Female,22.0,4,0.7589424572317262,16.0,0.4866369710467706,0.23,0.507,2.0,0.6,7.3,Yes,No,Low,2.0,Yes,Salle 8,178.0,0.2513888888888889,0.0,0.519579167938719,0.338,61.916933638443936,0,0,1,1,False,False,False,False,True,False
ENSPD000022,Male,24.0,4,0.9455676516329704,4.0,0.5478841870824054,0.359,0.648,2.0,0.6,4.4,No,No,Middle,1.0,No,Salle 26,121.0,0.3763888888888889,1.0,0.4780615285150367,0.386,61.59497568881685,1,0,0,0,False,False,False,False,False,True
ENSPD000023,Male,21.0,2,0.8304821150855365,11.0,0.6414253897550111,0.461,0.636,2.0,4.7,17.3,No,No,Middle,0.0,No,Salle 25,231.0,0.5847222222222221,1.0,0.2976798656396157,0.3564,61.916933638443936,1,0,0,0,False,False,False,False,True,False
ENSPD000024,Male,23.0,3,0.5334370139968895,30.0,0.7082405345211581,0.439,0.667,1.0,2.1,15.0,Yes,Yes,Low,1.0,Yes,Salle 11,104.0,0.5111111111111111,1.0,0.2332768270212607,0.14,60.567119565217396,1,1,1,1,False,True,False,False,False,False
ENSPD000025,Male,23.0,2,0.5987558320373251,26.0,0.6848552338530067,0.522,0.675,0.0,0.1,9.6,Yes,No,Middle,1.0,No,Salle 26,71.0,0.4916666666666667,1.0,0.2656875115026489,0.0,60.567119565217396,1,0,0,1,False,True,False,False,False,False
ENSPD000026,Female,18.0,1,0.6360808709175737,23.0,0.6024498886414253,0.43200000000000005,0.7070000000000001,1.0,2.2,11.3,Yes,Yes,Middle,1.0,Yes,Salle 26,248.0,0.45138888888888895,1.0,0.30118082465296814,0.1532,61.36358885017421,0,1,1,1,False,False,False,True,False,False
ENSPD000027,Male,26.0,3,0.6080870917573872,25.0,0.5389755011135858,0.36700000000000005,0.44799999999999995,3.0,3.4,17.1,Yes,No,Low,1.0,Yes,Salle 12,263.0,0.29861111111111116,0.0,0.39825619990614036,0.4488,61.36358885017421,1,0,1,1,False,False,False,True,False,False
ENSPD000028,Male,25.0,1,0.9999999999999999,0.0,0.6792873051224945,0.898,0.495,0.0,1.4,10.7,Yes,No,Middle,1.0,Yes,Salle 30,121.0,0.6749999999999999,1.0,0.30688946520522276,0.0,61.59497568881685,1,0,1,1,False,False,False,False,False,True
ENSPD000029,Female,21.0,1,0.3608087091757387,41.0,0.5902004454342985,0.498,0.633,1.0,1.0,13.2,Yes,No,Low,1.0,No,Salle 30,186.0,0.45833333333333337,1.0,0.19465422618947906,0.1178,61.916933638443936,0,0,0,1,False,False,False,False,True,False
ENSPD000030,Male,20.0,4,0.8429237947122862,10.0,0.9120267260579065,0.218,0.636,1.0,0.4,4.8,No,No,Low,2.0,Yes,Salle 26,230.0,0.5125,1.0,0.34045196323793003,0.17980000000000002,61.36358885017421,1,0,1,0,False,False,False,True,False,False
ENSPD000031,Female,23.0,1,0.47900466562986,34.0,0.7082405345211581,0.555,0.424,2.0,2.0,12.6,Yes,No,Middle,0.0,No,Salle 10,186.0,0.4,1.0,0.26980116647576513,0.266,61.916933638443936,0,0,0,1,False,False,False,False,True,False
ENSPD000032,Male,22.0,5,0.541213063763608,30.0,0.455456570155902,0.418,0.856,0.0,2.2,19.7,No,No,Low,0.0,No,Salle 27,80.0,0.5180555555555555,1.0,0.23282835854579195,0.0,61.800132802124836,1,0,0,0,True,False,False,False,False,False
ENSPD000033,Male,23.0,3,0.34525660964230165,42.0,0.5300668151447662,0.461,0.785,1.0,0.1,8.9,No,No,Low,0.0,No,Salle 9,130.0,0.49722222222222223,1.0,0.17294178342309388,0.1158,61.93600823045268,1,0,0,0,False,False,False,False,False,False
ENSPD000034,Female,22.0,5,0.6174183514774495,25.0,0.6180400890868597,0.748,0.46799999999999997,3.0,2.3,9.6,Yes,Yes,Middle,0.0,Yes,Salle 26,109.0,0.5083333333333333,1.0,0.26394820652964024,0.4524,61.36358885017421,0,1,1,1,False,False,False,True,False,False
ENSPD000035,Female,23.0,1,0.9999999999999999,0.0,0.8273942093541203,0.539,0.635,0.0,2.1,6.5,Yes,No,Low,1.0,Yes,Salle 4,248.0,0.5611111111111111,1.0,0.3653551826204786,0.0,61.36358885017421,0,0,1,1,False,False,False,True,False,False
ENSPD000036,Female,25.0,3,0.7698289269051323,15.0,0.846325167037862,0.413,1.0,2.0,0.1,4.3,No,Yes,High,0.0,Yes,Salle 5,154.0,0.7458333333333333,1.0,0.2141536322813645,0.3408,61.59497568881685,0,1,1,0,False,False,False,False,False,True
ENSPD000037,Male,23.0,2,0.4961119751166406,32.0,0.544543429844098,0.7000000000000001,0.635,2.0,1.6,7.5,Yes,No,Middle,3.0,Yes,Salle 5,119.0,0.4527777777777777,1.0,0.24786412012841494,0.2704,61.93600823045268,1,0,1,1,False,False,False,False,False,False
ENSPD000038,Male,20.0,4,0.9097978227060654,6.0,0.4543429844097996,0.8270000000000001,0.7190000000000001,2.0,1.9,14.5,No,No,Low,1.0,Yes,Salle 22,157.0,0.6708333333333333,1.0,0.2823807440466777,0.3768,61.800132802124836,1,0,1,0,True,False,False,False,False,False
ENSPD000039,Female,25.0,2,0.7231726283048211,3.0,0.4331848552338531,0.7170000000000001,0.518,2.0,1.1,12.3,Yes,No,Low,0.0,Yes,Salle 16,119.0,0.42499999999999993,1.0,0.3508840610743096,0.32880000000000004,61.93600823045268,0,0,1,1,False,False,False,False,False,False
ENSPD000040,Male,25.0,2,0.7387247278382582,17.0,0.6525612472160356,0.17800000000000002,0.5770000000000001,0.0,1.4,24.4,Yes,No,High,1.0,Yes,Salle 13,177.0,0.32361111111111107,0.0,0.43598189260985587,0.0,61.453713527851455,1,0,1,1,False,False,True,False,False,False
ENSPD000041,Male,28.0,4,0.9999999999999999,0.0,0.9955456570155901,0.419,0.635,1.0,0.8,11.5,No,No,Middle,2.0,Yes,Salle 2,93.0,0.8111111111111109,1.0,0.2524291088947376,0.2,61.93600823045268,1,0,1,0,False,False,False,False,False,False
ENSPD000042,Male,20.0,2,0.8740279937791603,8.0,0.700445434298441,0.629,0.663,1.0,0.1,0.3,Yes,No,Middle,2.0,Yes,Salle 18,231.0,0.6458333333333334,1.0,0.2827145923103699,0.18380000000000002,61.916933638443936,1,0,1,1,False,False,False,False,True,False
ENSPD000043,Male,22.0,1,0.8475894245723173,10.0,0.34409799554565706,0.5760000000000001,0.626,2.0,2.2,16.4,No,Yes,Middle,2.0,Yes,Salle 27,186.0,0.4361111111111111,1.0,0.391300537088636,0.3608,61.916933638443936,1,1,1,0,False,False,False,False,True,False
ENSPD000044,Female,18.0,2,0.5707620528771385,28.0,0.4888641425389756,0.561,0.642,1.0,1.9,15.9,Yes,No,Middle,1.0,No,Salle 5,119.0,0.4263888888888888,1.0,0.2907632223811988,0.1448,61.93600823045268,0,0,0,1,False,False,False,False,False,False
ENSPD000045,Male,23.0,3,0.8367029548989114,10.0,0.5055679287305123,0.443,1.0,1.0,9.0,45.4,Yes,No,Low,0.0,No,Salle 5,185.0,0.6430555555555555,1.0,0.2727066180506045,0.179,61.453713527851455,1,0,0,1,False,False,True,False,False,False
ENSPD000046,Female,21.0,2,0.76049766718507,15.0,0.47327394209354123,0.36700000000000005,0.648,1.0,0.5,5.8,Yes,No,Middle,2.0,No,Salle 17,71.0,0.44861111111111107,1.0,0.3497260379362921,0.1692,60.567119565217396,0,0,0,1,False,True,False,False,False,False
ENSPD000047,Male,26.0,2,0.8164852255054432,12.0,0.5456570155902005,0.981,0.474,2.0,1.0,8.6,Yes,No,Middle,1.0,Yes,Salle 9,231.0,0.5319444444444444,1.0,0.32036513303627445,0.3528,61.916933638443936,1,0,1,1,False,False,False,False,True,False
ENSPD000048,Male,20.0,1,0.5925349922239501,26.0,0.6714922048997773,0.625,0.509,2.0,1.2,13.0,No,No,Middle,1.0,Yes,Salle 2,121.0,0.4555555555555555,1.0,0.28250270115075626,0.2952,61.59497568881685,1,0,1,0,False,False,False,False,False,True
ENSPD000049,Male,19.0,3,0.7433903576982893,16.0,0.7238307349665924,0.736,0.7959999999999999,1.0,4.0,21.0,Yes,Yes,Low,1.0,Yes,Salle 30,104.0,0.6888888888888889,1.0,0.22686644181922463,0.167,60.567119565217396,1,1,1,1,False,True,False,False,False,False
ENSPD000050,Male,21.0,4,0.567651632970451,28.0,0.7928730512249444,0.621,0.354,0.0,1.1,7.1,No,Yes,Low,1.0,Yes,Salle 23,178.0,0.5,1.0,0.2505095503971546,0.0,61.916933638443936,1,1,1,0,False,False,False,False,True,False
ENSPD000051,Female,18.0,2,0.3188180404354588,44.0,0.6982182628062361,0.628,0.73,1.0,3.0,13.6,No,No,Middle,0.0,Yes,Salle 18,119.0,0.6055555555555555,1.0,0.12734684305990354,0.11240000000000001,61.93600823045268,0,0,1,0,False,False,False,False,False,False
ENSPD000052,Female,24.0,2,0.906687402799378,6.0,0.2839643652561248,0.609,0.635,2.0,1.4,9.1,Yes,No,Middle,1.0,Yes,Salle 8,177.0,0.375,1.0,0.46309126112138577,0.376,61.453713527851455,0,0,1,1,False,False,True,False,False,False
ENSPD000053,Female,18.0,1,0.44012441679626746,36.0,0.6113585746102449,0.418,0.268,1.0,1.1,8.2,No,No,Middle,0.0,Yes,Salle 12,121.0,0.20833333333333337,0.0,0.398912107758306,0.128,61.59497568881685,0,0,1,0,False,False,False,False,False,True
ENSPD000054,Female,22.0,1,0.7402799377916017,17.0,0.5835189309576838,0.34700000000000003,0.444,1.0,0.3,4.0,Yes,No,Low,0.0,Yes,Salle 6,149.0,0.3402777777777778,0.0,0.4220089162173276,0.1666,61.453713527851455,0,0,1,1,False,False,True,False,False,False
ENSPD000055,Female,18.0,1,0.7822706065318817,14.0,0.6347438752783965,0.6900000000000001,0.6459999999999999,1.0,6.0,30.8,No,No,Middle,1.0,No,Salle 13,96.0,0.6458333333333334,1.0,0.2551540162577609,0.17200000000000001,61.93600823045268,0,0,0,0,False,False,False,False,False,False
ENSPD000056,Female,21.0,3,0.7807153965785382,14.0,0.7538975501113586,0.654,0.919,2.0,0.4,3.8,No,No,Middle,1.0,No,Salle 29,185.0,0.7736111111111112,1.0,0.20789827045770862,0.3436,61.453713527851455,0,0,0,0,False,False,True,False,False,False
ENSPD000057,Male,25.0,3,0.6671850699844478,21.0,0.6169265033407572,0.789,0.823,1.0,1.1,7.1,Yes,Yes,Middle,1.0,No,Salle 24,212.0,0.6875,1.0,0.20543536369424278,0.15719999999999998,61.916933638443936,1,1,0,1,False,False,False,False,True,False
ENSPD000058,Male,23.0,5,0.7713841368584758,15.0,0.6191536748329621,0.752,0.5810000000000001,1.0,1.4,6.0,Yes,No,Middle,2.0,Yes,Salle 26,109.0,0.5972222222222222,1.0,0.27295075864932383,0.1706,61.36358885017421,1,0,1,1,False,False,False,True,False,False
ENSPD000059,Male,20.0,1,0.8087091757387247,12.0,0.6503340757238307,0.474,0.8340000000000001,2.0,5.1,23.5,No,No,Middle,1.0,No,Salle 23,149.0,0.5958333333333332,1.0,0.2854071142499105,0.3508,61.453713527851455,1,0,0,0,False,False,True,False,False,False
ENSPD000060,Male,22.0,3,0.8569206842923794,9.0,0.5679287305122495,0.8240000000000001,0.569,0.0,1.4,18.7,No,No,Low,1.0,No,Salle 23,130.0,0.5111111111111111,1.0,0.34614750445419873,0.0,61.93600823045268,1,0,0,0,False,False,False,False,False,False
ENSPD000061,Male,22.0,3,0.9999999999999999,0.0,0.6247216035634744,0.616,0.34700000000000003,1.0,6.6,33.5,Yes,No,Low,0.0,Yes,Salle 11,188.0,0.44444444444444453,1.0,0.44325780282769534,0.2,61.800132802124836,1,0,1,1,True,False,False,False,False,False
ENSPD000062,Male,23.0,3,0.7636080870917573,15.0,0.7984409799554566,0.7440000000000001,0.644,1.0,0.1,5.9,Yes,Yes,Middle,3.0,Yes,Salle 8,188.0,0.6652777777777776,1.0,0.24174854895799544,0.1696,61.800132802124836,1,1,1,1,True,False,False,False,False,False
ENSPD000063,Female,19.0,4,0.7325038880248832,17.0,0.5957683741648108,0.616,0.33899999999999997,2.0,0.4,12.2,Yes,No,High,1.0,Yes,Salle 25,178.0,0.5875,1.0,0.2650072125940307,0.3312,61.916933638443936,0,0,1,1,False,False,False,False,True,False
ENSPD000064,Male,23.0,1,0.5505443234836701,29.0,0.6046770601336303,0.988,0.798,2.0,1.0,9.3,No,No,Low,1.0,Yes,Salle 24,149.0,0.7666666666666668,1.0,0.14869581434672288,0.2844,61.453713527851455,1,0,1,0,False,False,True,False,False,False
ENSPD000065,Male,17.0,1,0.8009331259720062,13.0,0.6046770601336303,0.7440000000000001,0.8009999999999999,2.0,1.9,16.9,Yes,No,Low,1.0,Yes,Salle 21,248.0,0.6916666666666667,1.0,0.24234574178301035,0.3488,61.36358885017421,1,0,1,1,False,False,False,True,False,False
ENSPD000066,Male,21.0,3,0.8444790046656298,10.0,0.8273942093541203,0.7220000000000001,0.46399999999999997,2.0,0.8,4.2,Yes,No,High,1.0,Yes,Salle 19,154.0,0.6277777777777779,1.0,0.28182950573818066,0.36,61.59497568881685,1,0,1,1,False,False,False,False,False,True
ENSPD000067,Male,21.0,2,0.7231726283048211,20.0,0.42538975501113585,0.8150000000000001,0.669,0.0,2.5,12.5,Yes,No,Low,0.0,No,Salle 14,71.0,0.5666666666666667,1.0,0.27160131019314937,0.0,60.567119565217396,1,0,0,1,False,True,False,False,False,False
ENSPD000068,Female,23.0,1,0.8211508553654744,12.0,0.9064587973273941,0.515,0.667,1.0,0.4,2.8,No,No,Middle,1.0,Yes,Salle 25,149.0,0.6069444444444445,1.0,0.28413482766305054,0.177,61.453713527851455,0,0,1,0,False,False,True,False,False,False
ENSPD000069,Male,22.0,2,0.6656298600311042,22.0,0.4142538975501113,0.517,0.8140000000000001,1.0,1.8,14.2,Yes,No,Middle,2.0,Yes,Salle 24,298.0,0.5597222222222222,1.0,0.25592274949505256,0.157,61.36358885017421,1,0,1,1,False,False,False,True,False,False
ENSPD000070,Other,19.0,2,0.8460342146189735,10.0,0.5011135857461025,0.741,0.391,3.0,1.0,2.8,No,No,Middle,2.0,Yes,Salle 14,298.0,0.4097222222222222,1.0,0.41007486660067294,0.5406,61.36358885017421,2,0,1,0,False,False,False,True,False,False
ENSPD000071,Female,20.0,3,0.8911353032659409,7.0,0.734966592427617,0.616,0.76,2.0,1.4,11.9,Yes,No,Middle,0.0,Yes,Salle 12,188.0,0.6680555555555555,1.0,0.2781042393932498,0.372,61.800132802124836,0,0,1,1,True,False,False,False,False,False
ENSPD000072,Male,22.0,1,0.7231726283048211,7.0,0.7828507795100222,0.7270000000000001,0.37700000000000006,1.0,1.7,9.8,Yes,Yes,Low,2.0,Yes,Salle 26,143.0,0.48749999999999993,1.0,0.3124866038635382,0.16440000000000002,61.800132802124836,1,1,1,1,True,False,False,False,False,False
ENSPD000073,Male,22.0,2,0.7418351477449457,17.0,0.3752783964365256,0.648,0.795,0.0,0.1,5.9,Yes,No,Middle,1.0,Yes,Salle 30,119.0,0.5472222222222223,1.0,0.28719483918104494,0.0,61.93600823045268,1,0,1,1,False,False,False,False,False,False
ENSPD000074,Female,21.0,3,0.525660964230171,30.0,0.4276169265033408,0.616,0.853,3.0,5.2,11.5,Yes,No,Middle,1.0,Yes,Salle 22,212.0,0.5041666666666667,1.0,0.23373283278076465,0.417,61.916933638443936,0,0,1,1,False,False,False,False,True,False
ENSPD000075,Female,21.0,2,0.6065318818040436,25.0,0.6113585746102449,0.625,0.506,0.0,1.4,19.6,No,No,Low,2.0,Yes,Salle 18,119.0,0.45833333333333337,1.0,0.2861897800156127,0.0,61.93600823045268,0,0,1,0,False,False,False,False,False,False
ENSPD000076,Female,23.0,5,0.8304821150855365,11.0,1.0,0.855,0.8840000000000001,1.0,1.2,18.7,No,No,Middle,0.0,No,Salle 3,80.0,0.9027777777777777,0.0,0.18233442733950908,0.1782,61.800132802124836,0,0,0,0,True,False,False,False,False,False
ENSPD000077,Female,21.0,1,0.9999999999999999,0.0,0.8184855233853007,0.635,0.325,0.0,1.6,19.5,Yes,No,High,1.0,No,Salle 17,186.0,0.4361111111111111,1.0,0.449739496334718,0.0,61.916933638443936,0,0,0,1,False,False,False,False,True,False
ENSPD000078,Male,22.0,5,0.6562986003110421,22.0,0.5690423162583519,0.636,0.635,0.0,0.1,11.5,No,No,Low,1.0,No,Salle 7,70.0,0.7486111111111111,1.0,0.1823904405333939,0.0,61.453713527851455,1,0,0,0,False,False,True,False,False,False
ENSPD000079,Male,26.0,3,0.8055987558320373,12.0,0.20601336302895323,0.679,0.9279999999999999,1.0,1.4,9.2,Yes,No,Middle,1.0,Yes,Salle 24,263.0,0.6166666666666666,1.0,0.27485840275924345,0.17500000000000002,61.36358885017421,1,0,1,1,False,False,False,True,False,False
ENSPD000080,Male,19.0,4,0.6158631415241057,25.0,0.623608017817372,0.703,0.7090000000000001,1.0,1.1,10.2,Yes,Yes,Middle,0.0,Yes,Salle 10,173.0,0.6333333333333333,1.0,0.20977262657683152,0.15059999999999998,61.453713527851455,1,1,1,1,False,False,True,False,False,False
